Clone,NR.P,PTR,PPA,MS,PROD.AMD,AP,HI,AMD,Porte,RF,CR,DR,DCaule,Ácaro,Nº Hastes,Stand_Final,Branching_Level,Staygreen
BGM-0670,-0.459199864437565,-1.68527250301918,-9.28610332676653,3.0856040910977,-0.272977985545981,-0.112479038392212,2.55054502954184,3.08871498225267,0.588980639746876,0.19104743751726,1.66655393235949,3.21663410105311,0.00317458141328292,-0.351595341346042,-0.282493379068019,-1.37811903987858,-0.247603545352319,0.0146725037036672
BGM-0677,-0.092635601020017,-0.427627415693667,5.69435871620218,-3.74006249990784,-0.272864583620742,-0.0393970140934069,-2.23072852364124,-3.73684368116999,0.149666527386732,0.0460784414881548,0.00395310745964571,-1.94679816659065,0.0590510798162809,-0.10889063813565,0.268998422717218,-0.416078292548949,-0.116691830800853,-0.0122425368452893
BGM-0679,-2.99065823282448,-3.00879266458225,-2.88357676384957,3.28923598283639,-0.402407511950333,-0.126728976904871,-15.4410735370335,3.31107351968629,0.362039810725085,0.0398948640767431,-3.09442575854446,-5.07437152040034,-0.0350254422831649,0.00984879103316656,-0.961271197442519,-1.04749370210358,0.381965837441563,-0.00172251768350808
BGM-0682,2.0013722138647,5.48333404910801,1.46083768767958,7.43570250520406,1.92925559168063,-0.0559393971874572,10.949193182926,7.43834293184291,-0.176398397449427,0.150641950896751,2.43505455382799,4.67301157088305,-0.0770339040828994,0.0153690385375184,0.499963192564443,0.563431280840358,-0.116691830800853,-0.0122425368452893
BGM-0694,-0.427724217365573,-1.66077127888905,0.646382479650001,6.02660434511394,-0.470810483696234,0.0261752934535545,-8.73708790950789,5.94405724960307,-0.355884693424139,0.000129948030514442,1.63484571146143,-5.29894941442651,0.114196156221811,-0.365432361112774,-0.0537828186923279,0.307658338973126,-0.0193398925200999,0.0242331057349505
BGM-0697,0.17729746870092,1.02005174944883,-1.48064331084498,2.73910514096959,0.315283257245772,-0.071256418570837,5.37959549384881,2.74198863596272,0.149666527386732,0.255205460305347,1.51663845186662,3.11547811488561,-0.08350617063981,-0.481669668155157,-0.135189924515427,-0.416078292548949,-0.315520497293945,0.0248934390935415
BGM-0699,-0.173784967863288,-0.88503786739692,-1.72889088670981,1.26614133775528,-0.315909345237322,0.0110459243493245,6.55012997537647,1.25343866670594,-0.19285223100606,0.0213741163759063,-0.062317463039624,3.02998441334871,0.0331633617969694,0.0440099655231706,0.0291237664909074,0.0932700974213225,-0.218168559013192,-0.0129028702038802
BGM-0700,-0.17117627263878,-0.618740443662863,0.920009887418972,2.96152111156672,-0.178140231456536,-0.13128368636759,-0.14231625436519,2.90627306379601,0.622310081084338,0.0539063478456131,2.8039888461562,-1.50381205602253,0.235941721973354,0.00734666890673229,0.00395837376947847,0.307658338973127,-0.0193398925200999,0.0428010937043659
BGM-0702,-0.0630551065588676,-0.266137516895863,-1.60290621153454,3.39844867438431,-0.0415488687945545,0.21794440117347,3.4134248693395,3.31372536795439,-0.0298197685879801,-0.0289650196824964,-0.170167777133167,-1.34332901432727,0.00673421321655408,-0.241172684439605,-0.111524011154134,0.307658338973127,-0.0193398925200999,0.0242331057349505
BGM-0706,-1.84922707875356,-2.45699556282124,-5.6806035221876,6.52550675377899,-0.21705873235058,-0.0914748867968982,-4.65480930034939,6.52808372777044,0.149666527386732,-0.0584850679204412,-1.99495252622099,-2.33530388213621,-0.0720123179611586,0.388148068557025,-0.481637079286266,-1.23233627037337,-0.116691830800853,-0.0122425368452893
BGM-0711,0.380152575901113,-1.57203932221402,8.66940053190673,2.26506856737567,-0.26388464875647,0.113160518885056,-5.63141634227492,2.26797659572368,0.80179637705905,0.046078441488155,1.62468740503854,-2.41604753988514,0.276262577282255,-0.233150314808819,-0.0197075395918143,-0.905833079243602,0.0821368356922396,-0.0122425368452893
BGM-0714,1.06632166994422,3.11318235082875,1.14828518736571,-1.92402181771225,0.752991594110554,0.135516147959731,11.6497923951016,-0.655277327971614,-0.0949546097410251,-0.0605027860994286,-0.690046705672187,5.7412857934733,-0.0821806329225257,0.0970467408656225,1.07169384660809,0.540034571008833,0.332687437732275,0.0036700204963333
BGM-0717,1.51786537447134,1.62952205599907,4.56066487580632,-0.654489630679048,0.195102025192741,0.0846353309862701,1.98854085852752,-0.629089673365736,1.0141696603974,0.0734869665369155,2.68359025379368,1.78945869398091,0.133179411404413,-0.041647091669401,0.309035036717222,-0.0679841287142719,-0.377524803799839,-0.00172251768350808
BGM-0718,0.454636150302884,0.812867911550513,4.60957224920679,1.11264271967804,0.193483411103996,0.186350940171412,-0.912884536086824,1.13795122057751,0.688104735561244,-0.064668645331853,-0.362078007155783,-0.257343863875797,0.256951892995397,0.00984879103316656,-0.0951533105154221,0.421770657980382,0.0201325291863457,-0.00172251768350808
BGM-0733,-1.51120278423815,-2.32423316067271,-9.42549804463125,-0.195049677061961,-0.523345239501988,-0.0283687586973735,-0.357742359412285,-0.192014327411607,-0.339430859867506,-0.0584850679204411,-3.50763787062797,-0.962076601435249,-0.144211567311523,0.388148068557025,-0.0774487320536209,0.563431280840358,-0.315520497293945,-0.0122425368452893
BGM-0776,-0.728778140352017,-2.85216427283859,-5.85443496930614,-1.02154077744891,-0.613145396425277,0.0243217948614529,-6.09808290133628,-1.01807237714347,-0.502463322285586,-0.163048577329037,-2.38542193677078,-1.56472601534473,-0.291957790093414,0.388148068557025,0.55770438502625,0.23692808971059,0.678622835171516,-0.0122425368452893
