trait,Clone,BLUP,BLUPS_mean,drgBLUP_mean
Plant.Height,Plant.Height.BGM-2336,0.0401428561209795,1.23203110274911,1.27810816506611
Plant.Height,Plant.Height.BR-11-24-156,0.331789998351387,1.52367824497952,1.71437400154704
Plant.Height,Plant.Height.BR-11-34-41,0.0920020235543748,1.28389027018251,1.33703677616534
Plant.Height,Plant.Height.BR-11-34-45,0.0524868341122097,1.24437508074034,1.30462433905054
Plant.Height,Plant.Height.BR-11-34-64,0.0590667125434829,1.25095495917161,1.31875278523123
Plant.Height,Plant.Height.BR-11-34-69,-0.116318792272259,1.07556945435587,0.941766048789551
Plant.Height,Plant.Height.Branquinha,-0.0463399959897556,1.14554825063838,1.0920808439353
Plant.Height,Plant.Height.Branquinha_0,-0.0651413096105708,1.12674693701756,1.05188909463243
Plant.Height,Plant.Height.BRS Caipira,-0.0508761651435129,1.14101208148462,1.12144813243615
Plant.Height,Plant.Height.BRS Dourada,0.125344937637682,1.31723318426581,1.36763448721629
Plant.Height,Plant.Height.BRS Formosa,-0.0127513286294901,1.17913691799864,1.17368885375626
Plant.Height,Plant.Height.BRS Gema de Ovo,-0.0421171923430829,1.14977105428505,1.13348737155727
Plant.Height,Plant.Height.BRS Jari,-0.0834656977653639,1.10842254886277,1.07493589519674
Plant.Height,Plant.Height.BRS Kiriris,0.0422706533079689,1.2341588999361,1.25039619735992
Plant.Height,Plant.Height.BRS Mulatinha,0.0596337705560555,1.25152201718419,1.27452708617696
Plant.Height,Plant.Height.BRS Novo Horizonte,0.088906540405558,1.28079478703369,1.33199540398887
Plant.Height,Plant.Height.BRS Poti Branca,0.126410923425419,1.31829917005355,1.36686162177018
Plant.Height,Plant.Height.BRS Tapioqueira,0.138820729809055,1.33070897643719,1.38983001746887
Plant.Height,Plant.Height.BRS Verdinha,-0.0379877860789965,1.15390046054913,1.13584846468793
Plant.Height,Plant.Height.Cacau,-0.0309140951881394,1.16097415143999,1.12544162326265
Plant.Height,Plant.Height.Canela_de_Jacu,-0.13356095227834,1.05832729434979,0.905052382625408
Plant.Height,Plant.Height.Capixaba,0.0935284760436592,1.28541672267179,1.33947819707857
Plant.Height,Plant.Height.Chap<U+00E9>u,-0.0889726175353078,1.10291562909282,0.985948829157333
Plant.Height,Plant.Height.Cigana Preta,0.0569550321066313,1.24884327873476,1.29448713453432
Plant.Height,Plant.Height.Corrent<U+00E3>o,0.155505945337731,1.34739419196586,1.42109934488842
Plant.Height,Plant.Height.Corrente,-0.0879936346596746,1.10389461196846,1.04403687456915
Plant.Height,Plant.Height.Craibeirinha,-0.0723922565251464,1.11949599010298,1.03626446310019
Plant.Height,Plant.Height.Cramuquem,-0.0399390966895449,1.15194914993859,1.09952530869055
Plant.Height,Plant.Height.Cria_Menino,-0.076201883179962,1.11568636344817,1.02708876782219
Plant.Height,Plant.Height.Cruvelinha,-0.144386131139039,1.04750211548909,0.881313189092027
Plant.Height,Plant.Height.Dona Diva,0.0852093903146905,1.27709763694282,1.37519560283622
Plant.Height,Plant.Height.Enrica_Homem,-0.0554289776898153,1.13645926893832,1.07273446258379
Plant.Height,Plant.Height.Eucalipto,-0.0294635032621912,1.16242474336594,1.15005507074516
Plant.Height,Plant.Height.Fecula Branca,-0.0158431143158548,1.17604513231228,1.14982987287609
Plant.Height,Plant.Height.GCP 001,-0.0729398833326559,1.11894836329547,1.03529591764816
Plant.Height,Plant.Height.Goela de Jacu,0.134489406583472,1.3263776532116,1.4091820583089
Plant.Height,Plant.Height.IAC-14,-0.0184515584066347,1.1734366882215,1.16280680381902
