"Trait","SI","X0","X0_GEBV","X0_GETGV","X0_BLUPS","XS_BLUPS","XS_GEBV","XS_GETGV","XS_GEBV_BLUP","XS_GETGV_BLUP","XS_GETGV_GEBV","kappa_GEBV_BLUP","kappa_GETGV_BLUP","kappa_GETGV_GEBV","kappa_sel_GEBV_BLUP_BLUP","kappa_sel_GETGV_BLUP_BLUP","kappa_sel_GETGV_GEBV_BLUP","kappa_sel_GEBV_BLUP_GEBV","kappa_sel_GETGV_BLUP_GEBV","kappa_sel_GETGV_GEBV_GEBV","kappa_sel_GEBV_BLUP_GETGV","kappa_sel_GETGV_BLUP_GETGV","kappa_sel_GETGV_GEBV_GETGV"
"HI",20,24.5559309228324,24.545044502214,24.5378548542445,24.4687999982598,30.2432230514409,26.1227860406178,26.0638848156782,25.7804869425822,25.7527680976051,26.0171502192571,0.125637613661566,0.14097730464996,0.923301545058032,0.509129888371405,0.524469579359799,0.125637613661566,0.616507725290161,0.585828343313373,0.969320618023213,0.631847416278554,0.616507725290161,0.953980927034819
"HI",25,24.5559309228324,24.545044502214,24.5378548542445,24.4687999982598,29.779764920165,25.9409954880779,25.9510634901781,25.6629916694035,25.6475170456016,25.8827848971689,0.136343570662798,0.136343570662798,0.895314372201551,0.528914674906981,0.542000378381787,0.136343570662798,0.607428895755817,0.581257488806205,0.947657186100776,0.594343192281012,0.594343192281012,0.947657186100776
"HI",30,24.5559309228324,24.545044502214,24.5378548542445,24.4687999982598,29.1990585297119,25.8109023185513,25.8242115075246,25.5289015756863,25.5518537127467,25.7555316176443,0.152492586583114,0.198931348962121,0.907122475241985,0.558831757399429,0.547222066804677,0.164102277177866,0.593660829183685,0.593660829183685,0.953561237620992,0.616880210373189,0.651709282157444,0.953561237620992
"StC",10,24.4195480996521,24.3450227388451,24.3450231905256,24.3537742551918,28.9864454176811,25.4606176000017,25.448178389994,25.1481323383776,25.1480944720579,25.4272101258709,0.0238575268817198,0.0238575268817198,1,0.51192876344086,0.51192876344086,0.0238575268817198,0.51192876344086,0.51192876344086,1,0.51192876344086,0.51192876344086,1
"StC",15,24.4195480996521,24.3450227388451,24.3450231905256,24.3537742551918,28.5577147383852,25.3810532918587,25.3654286454177,25.0966515026781,25.0966299125116,25.2955718092278,0.0709320136679636,0.0709320136679636,1,0.486567691763874,0.486567691763874,0.0709320136679636,0.584364321904089,0.584364321904089,1,0.584364321904089,0.584364321904089,1
"StC",20,24.4195480996521,24.3450227388451,24.3450231905256,24.3537742551918,27.6896144377368,25.2696662584134,25.2842712741137,25.020557645616,25.0205385325628,25.1976449882986,0.14671479484602,0.14671479484602,1,0.525952663803345,0.525952663803345,0.14671479484602,0.620762131042676,0.620762131042676,1,0.620762131042676,0.620762131042676,1
"StC",25,24.4195480996521,24.3450227388451,24.3450231905256,24.3537742551918,27.3375912291243,25.1503350675489,25.1561080680428,24.965104203516,24.9650865764387,25.1291675968678,0.138937985091831,0.138937985091831,1,0.537577806808576,0.537577806808576,0.138937985091831,0.601360178283255,0.601360178283255,1,0.601360178283255,0.601360178283255,1
"StC",30,24.4195480996521,24.3450227388451,24.3450231905256,24.3537742551918,27.1544974061965,25.0937878463788,25.0919426598749,24.9243835980461,24.924368935553,25.065927197937,0.126928471248247,0.126928471248247,1,0.542676818272891,0.542676818272891,0.126928471248247,0.584251652975356,0.584251652975356,1,0.584251652975356,0.584251652975356,1
"Root.Le",10,23.2147300289559,23.2076992339125,23.2039009317036,23.210053266615,26.1611186922595,24.1456643306419,24.1269826924708,23.9682422573803,23.973509535275,24.1464390605222,0.142333333333334,0.142333333333334,0.861666666666666,0.557333333333334,0.585,0.114666666666667,0.585,0.474333333333334,0.917,0.529666666666667,0.557333333333334,0.944666666666666
"Root.Le",15,23.2147300289559,23.2076992339125,23.2039009317036,23.210053266615,25.7292774462503,24.0184308340085,24.0415544190615,23.9464447663971,23.9473090041849,24.0344755700068,0.279107981220657,0.240140845070422,0.844131455399061,0.532394366197183,0.532394366197183,0.25962441314554,0.746713615023474,0.707746478873239,0.941549295774648,0.707746478873239,0.707746478873239,0.902582159624413
